id;kategoria;tekst;aktywny;waga;tagi
37;OBRAŹ MNIE;Nie jesteś leniwy. Po prostu bardzo poważnie traktujesz oszczędzanie energii.;TAK;1;roast,lenistwo
38;OBRAŹ MNIE;Gdy życie daje Ci cytryny, Ty pytasz gdzie jest instrukcja.;TAK;1;roast,życie
39;OBRAŹ MNIE;Masz plan B? Bo plan A wygląda, jakby też był planem B.;TAK;1;roast,decyzje
40;OBRAŹ MNIE;Nie każda myśl zasługuje na wypowiedzenie. Ty traktujesz to jak wyzwanie.;TAK;1;roast
41;OBRAŹ MNIE;Masz charyzmę regulaminu parkingu.;TAK;1;roast,porównanie
42;OBRAŹ MNIE;Jesteś człowiekiem, przy którym instrukcja obsługi zaczyna mieć sens.;TAK;1;roast
43;OBRAŹ MNIE;Twoje życie nie jest chaosem. Chaos ma jednak jakąś strukturę.;TAK;1;roast,życie
44;OBRAŹ MNIE;Nie boisz się porażki. Widać, że jesteście już na „ty”.;TAK;1;roast,porażka
45;OBRAŹ MNIE;Masz energię człowieka, który otwiera lodówkę sześć razy, licząc na aktualizację zawartości.;TAK;1;roast,absurd
46;OBRAŹ MNIE;Twoje „zaraz to zrobię” powinno być zarejestrowane jako jednostka czasu.;TAK;1;roast,prokrastynacja
47;OBRAŹ MNIE;Gdyby wymówki spalały kalorie, wyglądałbyś fenomenalnie.;TAK;1;roast,wymówki
48;OBRAŹ MNIE;Jesteś jak CAPTCHA. Niby rozumiem, o co chodzi, ale i tak mnie wkurwiasz.;TAK;1;roast,porównanie
49;OBRAŹ MNIE;Twoja strefa komfortu zaczyna już płacić podatek od nieruchomości.;TAK;1;roast,komfort
50;OBRAŹ MNIE;Masz talent do wybierania najdłuższej kolejki. Również życiowo.;TAK;1;roast,życie
51;OBRAŹ MNIE;Twoja produktywność ma świetny work-life balance. Głównie life.;TAK;1;roast,praca
52;OBRAŹ MNIE;Masz tyle niedokończonych spraw, że Netflix pyta, czy nadal oglądasz.;TAK;1;roast,prokrastynacja
53;OBRAŹ MNIE;Jesteś jak darmowy okres próbny. Na początku ciekawie, potem człowiek zapomina anulować.;TAK;1;roast,porównanie
54;OBRAŹ MNIE;Twoje ambicje i wykonanie są obecnie w związku na odległość.;TAK;1;roast,ambicja
55;OBRAŹ MNIE;Jesteś dokładnie takim człowiekiem, przez którego istnieje przycisk „cofnij”.;TAK;1;roast,absurd
56;OBRAŹ MNIE;Masz dar. Jeszcze tylko musimy ustalić, gdzie go położyłeś.;TAK;1;roast,potencjał
57;OBRAŹ MNIE;Spokojnie. Nikt nie oczekiwał od Ciebie aż tyle. Ty też nie.;TAK;1;roast
58;OBRAŹ MNIE;Twoja konsekwencja imponuje. Zwłaszcza w powtarzaniu tych samych błędów.;TAK;1;roast,błędy
59;OBRAŹ MNIE;Masz bardzo otwarty umysł. Czasem aż wszystko z niego wypada.;TAK;1;roast,absurd
60;OBRAŹ MNIE;Nie jesteś problemem. Jesteś całym FAQ.;TAK;1;roast,absurd
61;OBRAŹ MNIE;Twoje decyzje mają fabułę. Szkoda, że to komedia.;TAK;1;roast,decyzje
62;OBRAŹ MNIE;Wyglądasz na osobę, która czyta „zaakceptowałem regulamin” i traktuje to jako największe kłamstwo dnia.;TAK;1;roast,absurd
63;DOBRA RADA;Jeśli musisz pytać trzecią osobę o zdanie, prawdopodobnie szukasz nie rady, tylko zgody.;TAK;1;decyzje
64;DOBRA RADA;Nie odpisuj od razu. Zjedz coś. Połowa konfliktów to głód w eleganckim płaszczu.;TAK;1;relacje,jedzenie
65;DOBRA RADA;Zanim kupisz coś drogiego, prześpij się z tym. Z rzeczą nie musisz.;TAK;1;pieniądze
66;DOBRA RADA;Jeżeli coś zajmuje mniej niż pięć minut, zrób to teraz. Chyba że to tatuaż.;TAK;1;życie,absurd
67;DOBRA RADA;Nie podejmuj życiowych decyzji po północy. Po północy nawet kebab wydaje się bratnią duszą.;TAK;1;decyzje,noc
68;DOBRA RADA;Przestań tłumaczyć się ludziom, którzy i tak już napisali sobie własną wersję.;TAK;1;relacje
69;DOBRA RADA;Jeśli coś brzmi zbyt dobrze, żeby było prawdziwe, przeczytaj mały druk.;TAK;1;pieniądze,życie
70;DOBRA RADA;Zrób najpierw najgorszą rzecz z listy. Potem dzień może już tylko udawać groźny.;TAK;1;praca
71;DOBRA RADA;Nie wysyłaj wiadomości, której nie chciałbyś zobaczyć na screenie.;TAK;1;relacje
72;DOBRA RADA;Czasem najlepszy plan to przestać poprawiać plan i zacząć.;TAK;1;działanie
73;MOTYWACJA;W Tobie jest bestia. Prawdopodobnie śpi, ale nie przeszkadzajmy narracji.;TAK;1;coach,absurd
74;MOTYWACJA;Nie masz problemów. Masz lekcje, za które nikt nie da Ci certyfikatu.;TAK;1;coach,absurd
75;MOTYWACJA;Każdy milioner miał kiedyś zero. Ty też masz. Jesteś na dobrej drodze.;TAK;1;coach,pieniądze
76;MOTYWACJA;Wizualizuj sukces. To prawie tak skuteczne jak praca, ale znacznie wygodniejsze.;TAK;1;coach,absurd
77;MOTYWACJA;Nie goń marzeń. Biegnij obok nich i wyglądaj, jakbyście mieli wspólny cel.;TAK;1;coach,absurd
78;MOTYWACJA;Twoja energia przyciąga to, o czym myślisz. Dlatego przestań myśleć o kebabie.;TAK;1;coach,jedzenie
79;MOTYWACJA;Sukces zaczyna się tam, gdzie kończy się wymówka. Albo gdzieś niedaleko, nie mamy mapy.;TAK;1;coach
80;MOTYWACJA;Nie jesteś spóźniony. Jesteś na własnej osi czasu. Bardzo, bardzo własnej.;TAK;1;coach
81;MOTYWACJA;Wszechświat Ci sprzyja. Nie sprawdzaliśmy tego, ale brzmi profesjonalnie.;TAK;1;coach,absurd
82;MOTYWACJA;Dzisiaj nie ma porażek. Są tylko bardzo kosztowne informacje zwrotne.;TAK;1;coach,praca
83;POGŁASZCZ MNIE;Nie musisz dziś niczego udowadniać. Serio. Komisja odwołała posiedzenie.;TAK;1;wsparcie,absurd
84;POGŁASZCZ MNIE;Jesteś całkiem niezłym człowiekiem. Nawet internet nie znalazł dziś nic przeciwko.;TAK;1;wsparcie
85;POGŁASZCZ MNIE;To, że czegoś jeszcze nie umiesz, nie oznacza, że jesteś w tym beznadziejny. Na razie jesteś początkujący.;TAK;1;wsparcie
86;POGŁASZCZ MNIE;Masz więcej ogarnięte, niż Ci się wydaje. Reszta po prostu głośniej krzyczy.;TAK;1;wsparcie,życie
87;POGŁASZCZ MNIE;Dobrze wyglądasz. Nie widzę Cię, ale dzisiaj ryzykuję reputacją.;TAK;1;wsparcie,absurd
88;POGŁASZCZ MNIE;Nie każdy dzień musi być produktywny, żeby był dobry.;TAK;1;wsparcie
89;POGŁASZCZ MNIE;Jeśli dzisiaj zrobiłeś minimum, to nadal zrobiłeś więcej niż zero. Matematyka stoi po Twojej stronie.;TAK;1;wsparcie
90;POGŁASZCZ MNIE;Masz prawo być dumny z rzeczy, których nikt poza Tobą nie zauważył.;TAK;1;wsparcie
91;POGŁASZCZ MNIE;Nie jesteś dla wszystkich. Na szczęście wszyscy też nie są dla Ciebie.;TAK;1;wsparcie,relacje
92;POGŁASZCZ MNIE;Jesteś wystarczająco dobry na dzisiaj. Jutro możesz znowu przesadzać z wymaganiami.;TAK;1;wsparcie
93;TAK CZY NIE;TAK. I przestań już otwierać kolejne zdrapki, aż dostaniesz odpowiedź, której chcesz.;TAK;1;decyzje,tak
94;TAK CZY NIE;NIE. Los właśnie oszczędził Ci roboty.;TAK;1;decyzje,nie
95;TAK CZY NIE;TAK. Ostrożnie, ale tak.;TAK;1;decyzje,tak
96;TAK CZY NIE;NIE. To nie tchórzostwo. To wyjątkowo chwilowo działający rozsądek.;TAK;1;decyzje,nie
97;TAK CZY NIE;TAK. Masz pozwolenie od internetu.;TAK;1;decyzje,tak
98;TAK CZY NIE;NIE. Zadaj pytanie ponownie po jedzeniu.;TAK;1;decyzje,nie
99;TAK CZY NIE;TAK. Co może pójść nie tak? Dobra, nie odpowiadaj.;TAK;1;decyzje,tak
100;TAK CZY NIE;NIE. Tym razem nuda wygrywa z konsekwencjami.;TAK;1;decyzje,nie
101;TAK CZY NIE;TAK. Ale tylko jeśli nie musisz nikomu potem tłumaczyć „to długa historia”.;TAK;1;decyzje,tak
102;TAK CZY NIE;NIE. Twoje przyszłe ja właśnie wysłało podziękowania.;TAK;1;decyzje,nie
103;18+;Jeśli oboje wiecie, że to zły pomysł, przynajmniej macie już coś wspólnego.;TAK;1;18+,relacje
104;18+;Nie pisz do ex po alkoholu. Archeologia też ma swoje granice.;TAK;1;18+,relacje
105;18+;Flirtuj śmiało. Najwyżej jutro zmienisz lokal.;TAK;1;18+,flirt
106;18+;Jeśli pytasz, czy wypada, prawdopodobnie właśnie dlatego masz ochotę.;TAK;1;18+,decyzje
107;18+;Chemia jest ważna. Zgoda jeszcze ważniejsza. Reszta to logistyka.;TAK;1;18+,relacje
108;18+;Nie wszystko, co dzieje się po drugiej w nocy, musi zostać częścią Twojej osobowości.;TAK;1;18+,impreza
109;18+;Masz ochotę? Powiedz. Telepatia ma fatalne opinie użytkowników.;TAK;1;18+,flirt
110;18+;Jeśli plan zaczyna się od „nikomu nie mów”, zastanów się jeszcze raz. Potem ewentualnie baw się dobrze.;TAK;1;18+,decyzje
111;18+;Dorosły człowiek może robić głupie rzeczy. Ważne, żeby robił je świadomie i za zgodą wszystkich zainteresowanych.;TAK;1;18+,impreza
112;18+;Nie oceniaj swoich wiadomości z wczoraj przed pierwszą kawą. Potrzebujesz pełnej odporności psychicznej.;TAK;1;18+,impreza
113;DOBRA RADA;Nie rób z chwilowego nastroju długoterminowej decyzji.;TAK;1;rada
114;DOBRA RADA;Jeśli plan wymaga cudu, dopisz plan B.;TAK;1;rada
115;DOBRA RADA;Nie odpowiadaj na wiadomość, kiedy układasz ją jak mowę końcową w sądzie.;TAK;1;rada
116;DOBRA RADA;Jeśli coś działa wystarczająco dobrze, nie ulepszaj tego o 23:40.;TAK;1;rada
117;DOBRA RADA;Nie tłumacz ciszy za kogoś. Cisza też potrafi być odpowiedzią.;TAK;1;rada
118;DOBRA RADA;Nie naprawiaj relacji sam, jeśli druga strona przyszła tylko popatrzeć.;TAK;1;rada
119;DOBRA RADA;Zanim się obrazisz, sprawdź czy druga osoba w ogóle wie, że gra w tę grę.;TAK;1;rada
120;DOBRA RADA;Nie kupuj problemu tylko dlatego, że jest w promocji.;TAK;1;rada
121;DOBRA RADA;Nie każdemu należy się pełne wyjaśnienie. Czasem wystarczy „nie”.;TAK;1;rada
122;DOBRA RADA;Najpierw śpij, potem filozofuj. Noc ma fatalny dział PR.;TAK;1;rada
123;DOBRA RADA;Zanim zdecydujesz się na wiadomość, daj sobie godzinę bez telefonu i sprawdź, czy nadal tego chcesz.;TAK;1;rada
124;DOBRA RADA;Zanim zdecydujesz się na wiadomość, zadaj sobie pytanie, czego tak naprawdę próbujesz uniknąć.;TAK;1;rada
125;DOBRA RADA;Zanim zdecydujesz się na wiadomość, wybierz najmniejszy sensowny krok zamiast kolejnej analizy.;TAK;1;rada
126;DOBRA RADA;Zanim zdecydujesz się na wiadomość, sprawdź fakty, zanim dopiszesz sobie fabułę.;TAK;1;rada
127;DOBRA RADA;Zanim zdecydujesz się na wiadomość, odróżnij strach przed zmianą od sygnału ostrzegawczego.;TAK;1;rada
128;DOBRA RADA;Zanim zdecydujesz się na wiadomość, nie pytaj pięciu osób, jeśli i tak chcesz usłyszeć jedną odpowiedź.;TAK;1;rada
129;DOBRA RADA;Zanim zdecydujesz się na wiadomość, zrób wersję prostszą. Zwykle to ona przeżywa kontakt z rzeczywistością.;TAK;1;rada
130;DOBRA RADA;Zanim zdecydujesz się na wiadomość, pomyśl, czy jutro rano nadal uznasz to za genialne.;TAK;1;rada
131;DOBRA RADA;Zanim zdecydujesz się na zakup, daj sobie godzinę bez telefonu i sprawdź, czy nadal tego chcesz.;TAK;1;rada
132;DOBRA RADA;Zanim zdecydujesz się na zakup, zadaj sobie pytanie, czego tak naprawdę próbujesz uniknąć.;TAK;1;rada
133;DOBRA RADA;Zanim zdecydujesz się na zakup, wybierz najmniejszy sensowny krok zamiast kolejnej analizy.;TAK;1;rada
134;DOBRA RADA;Zanim zdecydujesz się na zakup, sprawdź fakty, zanim dopiszesz sobie fabułę.;TAK;1;rada
135;DOBRA RADA;Zanim zdecydujesz się na zakup, odróżnij strach przed zmianą od sygnału ostrzegawczego.;TAK;1;rada
136;DOBRA RADA;Zanim zdecydujesz się na zakup, nie pytaj pięciu osób, jeśli i tak chcesz usłyszeć jedną odpowiedź.;TAK;1;rada
137;DOBRA RADA;Zanim zdecydujesz się na zakup, zrób wersję prostszą. Zwykle to ona przeżywa kontakt z rzeczywistością.;TAK;1;rada
138;DOBRA RADA;Zanim zdecydujesz się na zakup, pomyśl, czy jutro rano nadal uznasz to za genialne.;TAK;1;rada
139;DOBRA RADA;Zanim zdecydujesz się na rozmowę, daj sobie godzinę bez telefonu i sprawdź, czy nadal tego chcesz.;TAK;1;rada
140;DOBRA RADA;Zanim zdecydujesz się na rozmowę, zadaj sobie pytanie, czego tak naprawdę próbujesz uniknąć.;TAK;1;rada
141;DOBRA RADA;Zanim zdecydujesz się na rozmowę, wybierz najmniejszy sensowny krok zamiast kolejnej analizy.;TAK;1;rada
142;DOBRA RADA;Zanim zdecydujesz się na rozmowę, sprawdź fakty, zanim dopiszesz sobie fabułę.;TAK;1;rada
143;DOBRA RADA;Zanim zdecydujesz się na rozmowę, odróżnij strach przed zmianą od sygnału ostrzegawczego.;TAK;1;rada
144;DOBRA RADA;Zanim zdecydujesz się na rozmowę, nie pytaj pięciu osób, jeśli i tak chcesz usłyszeć jedną odpowiedź.;TAK;1;rada
145;DOBRA RADA;Zanim zdecydujesz się na rozmowę, zrób wersję prostszą. Zwykle to ona przeżywa kontakt z rzeczywistością.;TAK;1;rada
146;DOBRA RADA;Zanim zdecydujesz się na rozmowę, pomyśl, czy jutro rano nadal uznasz to za genialne.;TAK;1;rada
147;DOBRA RADA;Zanim zdecydujesz się na plan, daj sobie godzinę bez telefonu i sprawdź, czy nadal tego chcesz.;TAK;1;rada
148;DOBRA RADA;Zanim zdecydujesz się na plan, zadaj sobie pytanie, czego tak naprawdę próbujesz uniknąć.;TAK;1;rada
149;DOBRA RADA;Zanim zdecydujesz się na plan, wybierz najmniejszy sensowny krok zamiast kolejnej analizy.;TAK;1;rada
150;DOBRA RADA;Zanim zdecydujesz się na plan, sprawdź fakty, zanim dopiszesz sobie fabułę.;TAK;1;rada
151;DOBRA RADA;Zanim zdecydujesz się na plan, odróżnij strach przed zmianą od sygnału ostrzegawczego.;TAK;1;rada
152;DOBRA RADA;Zanim zdecydujesz się na plan, nie pytaj pięciu osób, jeśli i tak chcesz usłyszeć jedną odpowiedź.;TAK;1;rada
153;DOBRA RADA;Zanim zdecydujesz się na plan, zrób wersję prostszą. Zwykle to ona przeżywa kontakt z rzeczywistością.;TAK;1;rada
154;DOBRA RADA;Zanim zdecydujesz się na plan, pomyśl, czy jutro rano nadal uznasz to za genialne.;TAK;1;rada
155;DOBRA RADA;Zanim zdecydujesz się na konflikt, daj sobie godzinę bez telefonu i sprawdź, czy nadal tego chcesz.;TAK;1;rada
156;DOBRA RADA;Zanim zdecydujesz się na konflikt, zadaj sobie pytanie, czego tak naprawdę próbujesz uniknąć.;TAK;1;rada
157;DOBRA RADA;Zanim zdecydujesz się na konflikt, wybierz najmniejszy sensowny krok zamiast kolejnej analizy.;TAK;1;rada
158;DOBRA RADA;Zanim zdecydujesz się na konflikt, sprawdź fakty, zanim dopiszesz sobie fabułę.;TAK;1;rada
159;DOBRA RADA;Zanim zdecydujesz się na konflikt, odróżnij strach przed zmianą od sygnału ostrzegawczego.;TAK;1;rada
160;DOBRA RADA;Zanim zdecydujesz się na konflikt, nie pytaj pięciu osób, jeśli i tak chcesz usłyszeć jedną odpowiedź.;TAK;1;rada
161;DOBRA RADA;Zanim zdecydujesz się na konflikt, zrób wersję prostszą. Zwykle to ona przeżywa kontakt z rzeczywistością.;TAK;1;rada
162;DOBRA RADA;Zanim zdecydujesz się na konflikt, pomyśl, czy jutro rano nadal uznasz to za genialne.;TAK;1;rada
163;DOBRA RADA;Zanim zdecydujesz się na pomysł, daj sobie godzinę bez telefonu i sprawdź, czy nadal tego chcesz.;TAK;1;rada
164;DOBRA RADA;Zanim zdecydujesz się na pomysł, zadaj sobie pytanie, czego tak naprawdę próbujesz uniknąć.;TAK;1;rada
165;DOBRA RADA;Zanim zdecydujesz się na pomysł, wybierz najmniejszy sensowny krok zamiast kolejnej analizy.;TAK;1;rada
166;DOBRA RADA;Zanim zdecydujesz się na pomysł, sprawdź fakty, zanim dopiszesz sobie fabułę.;TAK;1;rada
167;DOBRA RADA;Zanim zdecydujesz się na pomysł, odróżnij strach przed zmianą od sygnału ostrzegawczego.;TAK;1;rada
168;DOBRA RADA;Zanim zdecydujesz się na pomysł, nie pytaj pięciu osób, jeśli i tak chcesz usłyszeć jedną odpowiedź.;TAK;1;rada
169;DOBRA RADA;Zanim zdecydujesz się na pomysł, zrób wersję prostszą. Zwykle to ona przeżywa kontakt z rzeczywistością.;TAK;1;rada
170;DOBRA RADA;Zanim zdecydujesz się na pomysł, pomyśl, czy jutro rano nadal uznasz to za genialne.;TAK;1;rada
171;DOBRA RADA;Zanim zdecydujesz się na zmianę pracy, daj sobie godzinę bez telefonu i sprawdź, czy nadal tego chcesz.;TAK;1;rada
172;DOBRA RADA;Zanim zdecydujesz się na zmianę pracy, zadaj sobie pytanie, czego tak naprawdę próbujesz uniknąć.;TAK;1;rada
173;DOBRA RADA;Zanim zdecydujesz się na zmianę pracy, wybierz najmniejszy sensowny krok zamiast kolejnej analizy.;TAK;1;rada
174;DOBRA RADA;Zanim zdecydujesz się na zmianę pracy, sprawdź fakty, zanim dopiszesz sobie fabułę.;TAK;1;rada
175;DOBRA RADA;Zanim zdecydujesz się na zmianę pracy, odróżnij strach przed zmianą od sygnału ostrzegawczego.;TAK;1;rada
176;DOBRA RADA;Zanim zdecydujesz się na zmianę pracy, nie pytaj pięciu osób, jeśli i tak chcesz usłyszeć jedną odpowiedź.;TAK;1;rada
177;DOBRA RADA;Zanim zdecydujesz się na zmianę pracy, zrób wersję prostszą. Zwykle to ona przeżywa kontakt z rzeczywistością.;TAK;1;rada
178;DOBRA RADA;Zanim zdecydujesz się na zmianę pracy, pomyśl, czy jutro rano nadal uznasz to za genialne.;TAK;1;rada
179;DOBRA RADA;Zanim zdecydujesz się na randkę, daj sobie godzinę bez telefonu i sprawdź, czy nadal tego chcesz.;TAK;1;rada
180;DOBRA RADA;Zanim zdecydujesz się na randkę, zadaj sobie pytanie, czego tak naprawdę próbujesz uniknąć.;TAK;1;rada
181;DOBRA RADA;Zanim zdecydujesz się na randkę, wybierz najmniejszy sensowny krok zamiast kolejnej analizy.;TAK;1;rada
182;DOBRA RADA;Zanim zdecydujesz się na randkę, sprawdź fakty, zanim dopiszesz sobie fabułę.;TAK;1;rada
183;DOBRA RADA;Zanim zdecydujesz się na randkę, odróżnij strach przed zmianą od sygnału ostrzegawczego.;TAK;1;rada
184;DOBRA RADA;Zanim zdecydujesz się na randkę, nie pytaj pięciu osób, jeśli i tak chcesz usłyszeć jedną odpowiedź.;TAK;1;rada
185;DOBRA RADA;Zanim zdecydujesz się na randkę, zrób wersję prostszą. Zwykle to ona przeżywa kontakt z rzeczywistością.;TAK;1;rada
186;DOBRA RADA;Zanim zdecydujesz się na randkę, pomyśl, czy jutro rano nadal uznasz to za genialne.;TAK;1;rada
187;DOBRA RADA;Zanim zdecydujesz się na pożyczkę, daj sobie godzinę bez telefonu i sprawdź, czy nadal tego chcesz.;TAK;1;rada
188;DOBRA RADA;Zanim zdecydujesz się na pożyczkę, zadaj sobie pytanie, czego tak naprawdę próbujesz uniknąć.;TAK;1;rada
189;DOBRA RADA;Zanim zdecydujesz się na pożyczkę, wybierz najmniejszy sensowny krok zamiast kolejnej analizy.;TAK;1;rada
190;DOBRA RADA;Zanim zdecydujesz się na pożyczkę, sprawdź fakty, zanim dopiszesz sobie fabułę.;TAK;1;rada
191;DOBRA RADA;Zanim zdecydujesz się na pożyczkę, odróżnij strach przed zmianą od sygnału ostrzegawczego.;TAK;1;rada
192;DOBRA RADA;Zanim zdecydujesz się na pożyczkę, nie pytaj pięciu osób, jeśli i tak chcesz usłyszeć jedną odpowiedź.;TAK;1;rada
193;DOBRA RADA;Zanim zdecydujesz się na pożyczkę, zrób wersję prostszą. Zwykle to ona przeżywa kontakt z rzeczywistością.;TAK;1;rada
194;DOBRA RADA;Zanim zdecydujesz się na pożyczkę, pomyśl, czy jutro rano nadal uznasz to za genialne.;TAK;1;rada
195;DOBRA RADA;Zanim zdecydujesz się na wyjazd, daj sobie godzinę bez telefonu i sprawdź, czy nadal tego chcesz.;TAK;1;rada
196;DOBRA RADA;Zanim zdecydujesz się na wyjazd, zadaj sobie pytanie, czego tak naprawdę próbujesz uniknąć.;TAK;1;rada
197;DOBRA RADA;Zanim zdecydujesz się na wyjazd, wybierz najmniejszy sensowny krok zamiast kolejnej analizy.;TAK;1;rada
198;DOBRA RADA;Zanim zdecydujesz się na wyjazd, sprawdź fakty, zanim dopiszesz sobie fabułę.;TAK;1;rada
199;DOBRA RADA;Zanim zdecydujesz się na wyjazd, odróżnij strach przed zmianą od sygnału ostrzegawczego.;TAK;1;rada
200;DOBRA RADA;Zanim zdecydujesz się na wyjazd, nie pytaj pięciu osób, jeśli i tak chcesz usłyszeć jedną odpowiedź.;TAK;1;rada
201;DOBRA RADA;Zanim zdecydujesz się na wyjazd, zrób wersję prostszą. Zwykle to ona przeżywa kontakt z rzeczywistością.;TAK;1;rada
202;DOBRA RADA;Zanim zdecydujesz się na wyjazd, pomyśl, czy jutro rano nadal uznasz to za genialne.;TAK;1;rada
203;MOTYWACJA;Nie czekaj na znak. To jest znak. Niski budżet, ale znak.;TAK;1;coach
204;MOTYWACJA;Masz potencjał. Niestety sam się nie odpali.;TAK;1;coach
205;MOTYWACJA;Wyjdź ze strefy komfortu. Chociaż na chwilę, żeby przewietrzyć.;TAK;1;coach
206;MOTYWACJA;Nie potrzebujesz nowego planera. Potrzebujesz użyć starego.;TAK;1;coach
207;MOTYWACJA;Twoje tempo nadal jest tempem. Instagram nie jest jednostką czasu.;TAK;1;coach
208;MOTYWACJA;Wytrwałość to talent do wracania po tym, jak dramatycznie rzuciłeś wszystko.;TAK;1;coach
209;MOTYWACJA;Nie porównuj swojego zaplecza do czyjejś reklamy.;TAK;1;coach
210;MOTYWACJA;Zrób jedną rzecz, której unikasz. Potem możesz znowu być legendą kanapy.;TAK;1;coach
211;MOTYWACJA;Nie bój się dużych celów. One też nie mają pojęcia, jak się za nie zabrać.;TAK;1;coach
212;MOTYWACJA;Uwierz w siebie tak bezczelnie, jak ludzie bez kompetencji wierzą w swoje prezentacje.;TAK;1;coach
213;MOTYWACJA;Wszechświat otwiera Ci drzwi, więc przestań stać przed nimi z instrukcją.;TAK;1;coach
214;MOTYWACJA;Wszechświat mówi „działaj”, co jest podejrzanie konkretne.;TAK;1;coach
215;MOTYWACJA;Wszechświat wierzy w Ciebie bardziej niż Twój kalendarz.;TAK;1;coach
216;MOTYWACJA;Wszechświat domaga się ruchu, choć sam nic nie robi.;TAK;1;coach
217;MOTYWACJA;Wszechświat aktualizuje Twój poziom odwagi.;TAK;1;coach
218;MOTYWACJA;Wszechświat przypomina, że wymówki nie są planem projektu.;TAK;1;coach
